model,hf_id,family,status,params_million,train_samples,eval_samples,test_samples,train_runtime_sec,train_samples_per_second,epoch,eval_runtime_sec,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_normal_precision,eval_normal_recall,eval_normal_f1,eval_normal_support,eval_defect_precision,eval_defect_recall,eval_defect_f1,eval_defect_support,eval_runtime,eval_samples_per_second,eval_steps_per_second,pred_test_loss,pred_test_accuracy,pred_test_precision,pred_test_recall,pred_test_f1,pred_test_normal_precision,pred_test_normal_recall,pred_test_normal_f1,pred_test_normal_support,pred_test_defect_precision,pred_test_defect_recall,pred_test_defect_f1,pred_test_defect_support,pred_test_runtime,pred_test_samples_per_second,pred_test_steps_per_second,test_test_loss,test_test_accuracy,test_test_precision,test_test_recall,test_test_f1,test_test_normal_precision,test_test_normal_recall,test_test_normal_f1,test_test_normal_support,test_test_defect_precision,test_test_defect_recall,test_test_defect_f1,test_test_defect_support,test_test_runtime,test_test_samples_per_second,test_test_steps_per_second,test_accuracy,test_precision,test_recall,test_f1,test_normal_precision,test_normal_recall,test_normal_f1,test_normal_support,test_defect_precision,test_defect_recall,test_defect_f1,test_defect_support
CodeBERT,microsoft/codebert-base,code-specific,ok,124.64717,1200,300,300,89.91598909999993,40.091,3.0,1.3910891999998967,0.0542747937142849,0.99,0.9901714285714286,0.99,0.9899839391281566,1.0,0.9765625,0.9881422924901185,128.0,0.9828571428571429,1.0,0.9913544668587896,172.0,1.389,215.982,107.991,0.0542747937142849,0.99,0.9901714285714286,0.99,0.9899839391281566,1.0,0.9765625,0.9881422924901185,128.0,0.9828571428571429,1.0,0.9913544668587896,172.0,1.3876,216.208,108.104,0.0542747937142849,0.99,0.9901714285714286,0.99,0.9899839391281566,1.0,0.9765625,0.9881422924901185,128.0,0.9828571428571429,1.0,0.9913544668587896,172.0,1.381,217.233,108.617,0.99,0.9901714285714286,0.99,0.9899839391281566,1.0,0.9765625,0.9881422924901185,128.0,0.9828571428571429,1.0,0.9913544668587896,172.0
GraphCodeBERT,microsoft/graphcodebert-base,code-specific,ok,124.64717,1200,300,300,89.02012080000009,40.5,3.0,1.3497294999999667,0.04132045432925224,0.9933333333333333,0.9934099616858236,0.9933333333333333,0.9933263544369093,1.0,0.984375,0.9921259842519685,128.0,0.9885057471264368,1.0,0.9942196531791908,172.0,1.3486,222.456,111.228,0.04132045432925224,0.9933333333333333,0.9934099616858236,0.9933333333333333,0.9933263544369093,1.0,0.984375,0.9921259842519685,128.0,0.9885057471264368,1.0,0.9942196531791908,172.0,1.349,222.387,111.194,0.04132045432925224,0.9933333333333333,0.9934099616858236,0.9933333333333333,0.9933263544369093,1.0,0.984375,0.9921259842519685,128.0,0.9885057471264368,1.0,0.9942196531791908,172.0,1.348,222.553,111.276,0.9933333333333333,0.9934099616858236,0.9933333333333333,0.9933263544369093,1.0,0.984375,0.9921259842519685,128.0,0.9885057471264368,1.0,0.9942196531791908,172.0
CodeBERTa-small,huggingface/CodeBERTa-small-v1,code-specific,ok,83.452418,1200,300,300,49.72994210000002,72.564,3.0,0.7438908000001447,0.024378037080168724,0.9966666666666667,0.9966925064599483,0.9966666666666667,0.9966682926644811,0.9922480620155039,1.0,0.9961089494163424,128.0,1.0,0.9941860465116279,0.9970845481049563,172.0,0.742,404.312,202.156,0.024378037080168724,0.9966666666666667,0.9966925064599483,0.9966666666666667,0.9966682926644811,0.9922480620155039,1.0,0.9961089494163424,128.0,1.0,0.9941860465116279,0.9970845481049563,172.0,0.737,407.056,203.528,0.024378037080168724,0.9966666666666667,0.9966925064599483,0.9966666666666667,0.9966682926644811,0.9922480620155039,1.0,0.9961089494163424,128.0,1.0,0.9941860465116279,0.9970845481049563,172.0,0.7415,404.559,202.28,0.9966666666666667,0.9966925064599483,0.9966666666666667,0.9966682926644811,0.9922480620155039,1.0,0.9961089494163424,128.0,1.0,0.9941860465116279,0.9970845481049563,172.0
RoBERTa-base,roberta-base,general-purpose,ok,124.64717,1200,300,300,88.54286049999996,40.711,3.0,1.352999200000113,0.17700667679309845,0.9733333333333334,0.9745185185185186,0.9733333333333334,0.9732062561094821,1.0,0.9375,0.967741935483871,128.0,0.9555555555555556,1.0,0.9772727272727273,172.0,1.351,222.057,111.029,0.17700667679309845,0.9733333333333334,0.9745185185185186,0.9733333333333334,0.9732062561094821,1.0,0.9375,0.967741935483871,128.0,0.9555555555555556,1.0,0.9772727272727273,172.0,1.3515,221.969,110.985,0.17700667679309845,0.9733333333333334,0.9745185185185186,0.9733333333333334,0.9732062561094821,1.0,0.9375,0.967741935483871,128.0,0.9555555555555556,1.0,0.9772727272727273,172.0,1.35,222.223,111.111,0.9733333333333334,0.9745185185185186,0.9733333333333334,0.9732062561094821,1.0,0.9375,0.967741935483871,128.0,0.9555555555555556,1.0,0.9772727272727273,172.0
DistilRoBERTa,distilroberta-base,general-purpose,ok,82.119938,1200,300,300,52.68564049999986,68.49,3.0,0.806741799999827,0.07294540852308273,0.9833333333333333,0.9834819047619048,0.9833333333333333,0.9833065652135944,0.992,0.96875,0.9802371541501976,128.0,0.9771428571428571,0.9941860465116279,0.9855907780979827,172.0,0.8046,372.873,186.436,0.07294540852308273,0.9833333333333333,0.9834819047619048,0.9833333333333333,0.9833065652135944,0.992,0.96875,0.9802371541501976,128.0,0.9771428571428571,0.9941860465116279,0.9855907780979827,172.0,0.801,374.532,187.266,0.07294540852308273,0.9833333333333333,0.9834819047619048,0.9833333333333333,0.9833065652135944,0.992,0.96875,0.9802371541501976,128.0,0.9771428571428571,0.9941860465116279,0.9855907780979827,172.0,0.808,371.286,185.643,0.9833333333333333,0.9834819047619048,0.9833333333333333,0.9833065652135944,0.992,0.96875,0.9802371541501976,128.0,0.9771428571428571,0.9941860465116279,0.9855907780979827,172.0
